what,kind,bundleId,bundleVersion,description,time
started,bundle,org.scala-ide.sdt.scalatest,2.9.3.m2-2_10-201211090400-ca81be7,"org.scala-ide.sdt.scalatest",1359837278653
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1359837278965
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1359837279184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359837290771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359837291551
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1359837291732
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1359837304423
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1359837304517
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1359837304657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359837311180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359837328028
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1359837328105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359837346054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359837346884
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1359837355444
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1359837355574
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1359837355814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359837363066
